"dhs_indicator_code","variable","ADM2_EN","naive","naive_var","dir","dir_var","n_obs","degf"
"RH_ANCN_W_N4P","rh_anc_4vs","Magura",0.315789473684211,0.221906116642959,0.290132996319566,0.0106333466272622,5,4
"RH_ANCN_W_N4P","rh_anc_4vs","Manikganj",0.32,0.226666666666667,0.34529678567644,0.00828879309435691,4,3
"RH_ANCN_W_N4P","rh_anc_4vs","Maulvibazar",0.289473684210526,0.207498835584537,0.28407834700925,0.00259776197777495,12,11
"RH_ANCN_W_N4P","rh_anc_4vs","Meherpur",0.75,0.197368421052632,0.742680634033784,0.000697181383562988,3,2
"RH_ANCN_W_N4P","rh_anc_4vs","Munshiganj",0.407407407407407,0.250712250712251,0.407219652178016,0.0161446397152343,4,3
"RH_ANCN_W_N4P","rh_anc_4vs","Mymensingh",0.542586750788643,0.24897176855808,0.514040307529289,0.0027718815342878,35,34
"RH_ANCN_W_N4P","rh_anc_4vs","Naogaon",0.222222222222222,0.175627240143369,0.192599923406476,0.00253347226397462,11,10
"RH_ANCN_W_N4P","rh_anc_4vs","Narail",0.181818181818182,0.155844155844156,0.176606120859034,0.0053791023751569,3,2
"RH_ANCN_W_N4P","rh_anc_4vs","Narayanganj",0.446153846153846,0.250961538461538,0.515558395674506,0.0157807969685792,8,7
"RH_ANCN_W_N4P","rh_anc_4vs","Narsingdi",0.259259259259259,0.199430199430199,0.287120809608276,0.00886707956799929,4,3
"RH_ANCN_W_N4P","rh_anc_4vs","Natore",0.5,0.257142857142857,0.510918154152354,0.0156124302597232,7,6
"RH_ANCN_W_N4P","rh_anc_4vs","Nawabganj",0.145833333333333,0.127216312056738,0.162619239550368,0.00229848652511108,7,6
"RH_ANCN_W_N4P","rh_anc_4vs","Netrakona",0.347107438016529,0.228512396694215,0.32778614486636,0.0032610535169915,15,14
"RH_ANCN_W_N4P","rh_anc_4vs","Nilphamari",0.458333333333333,0.251760563380282,0.383483470292233,0.00651779089679524,8,7
